SN,Altitude,Temperature,Humidity,CO2,CO,Air,,AltTest,Tfixed,Hfixed,,Afixed,TempTest,Hfixed2,,Afixed2,Tfixed2,Humtest
408,70,18.1,91,46,3.77,54,,110,25,75,,,,,,,,
409,70,18,91,46,3.77,54,,111,25,75,,,,,,,,
410,70,18.1,91,46,3.81,54,,112,25,75,,,,,,,,
411,70,18,90,46,3.81,53,,113,25,75,,,,,,,,
412,70,18.1,90,46,3.81,53,,114,25,75,,,,,,,,
413,70,18.1,90,46,3.77,53,,115,25,75,,,,,,,,
414,70,18.1,90,46,3.81,53,,116,25,75,,,,,,,,
415,70,18.2,90,46,3.77,53,,117,25,75,,,,,,,,
416,70,18.1,90,46,3.77,53,,118,25,75,,,,,,,,
417,70,18,91,46,3.81,53,,119,25,75,,,,,,,,
418,70,18.2,90,46,3.77,53,,120,25,75,,,,,,,,
419,80,18.2,90,46,3.77,53,,121,25,75,,,,,,,,
420,80,18.2,90,45,3.77,53,,122,25,75,,,,,,,,
421,80,18.2,91,46,3.77,53,,123,25,75,,,,,,,,
422,80,18.2,91,46,3.77,53,,124,25,75,,,,,,,,
423,80,18.1,91,45,3.77,53,,125,25,75,,,,,,,,
424,80,18.1,92,46,3.81,53,,126,25,75,,,,,,,,
425,80,18.1,92,47,3.77,52,,127,25,75,,,,,,,,
426,80,18.2,92,45,3.74,52,,128,25,75,,,,,,,,
427,80,18.1,92,45,3.74,52,,129,25,75,,,,,,,,
428,80,18.2,92,44,3.74,52,,130,25,75,,,,,,,,
429,80,18.1,92,44,3.77,54,,131,25,75,,,,,,,,
430,80,18.2,92,44,3.77,53,,132,25,75,,,,,,,,
431,80,18.2,92,44,3.81,53,,133,25,75,,,,,,,,
432,80,18.1,92,44,3.84,53,,134,25,75,,,,,,,,
433,80,18.2,92,44,3.84,53,,135,25,75,,,,,,,,
434,80,18.3,92,43,3.84,51,,136,25,75,,,,,,,,
435,80,18.3,92,43,3.86,52,,137,25,75,,,,,,,,
436,80,18.3,92,43,3.85,52,,138,25,75,,,,,,,,
437,80,18.3,92,44,3.86,52,,139,25,75,,,,,,,,
438,80,18.2,92,44,3.85,52,,140,25,75,,,,,,,,
439,90,18.4,92,44,3.84,52,,141,25,75,,,,,,,,
440,90,18.4,92,44,3.88,52,,142,25,75,,,,,,,,
441,90,18.4,92,44,3.87,52,,143,25,75,,,,,,,,
442,90,18.5,92,43,3.87,51,,144,25,75,,,,,,,,
443,90,18.4,91,43,3.86,51,,145,25,75,,,,,,,,
444,90,18.4,91,43,3.89,51,,146,25,75,,,,,,,,
445,90,18.4,92,45,4.02,53,,147,25,75,,,,,,,,
446,90,18.5,92,46,4.12,55,,148,25,75,,,,,,,,
447,90,18.5,92,47,4.19,55,,149,25,75,,,,,,,,
448,90,18.4,92,47,4.29,56,,150,25,75,,,,,,,,
449,90,18.4,92,48,4.36,56,,151,25,75,,,,,,,,
450,90,18.4,92,48,4.39,56,,152,25,75,,,,,,,,
451,90,18.6,92,48,4.43,57,,153,25,75,,,,,,,,
452,90,18.6,93,48,4.46,57,,154,25,75,,,,,,,,
453,90,18.5,93,48,4.48,57,,155,25,75,,,,,,,,
454,90,18.5,93,50,4.49,57,,156,25,75,,,,,,,,
455,90,18.5,93,49,4.47,56,,157,25,75,,,,,,,,
456,90,18.5,93,49,4.47,57,,158,25,75,,,,,,,,
457,90,18.6,93,49,4.48,57,,159,25,75,,,,,,,,
458,90,18.5,93,50,4.48,56,,160,25,75,,,,,,,,
459,100,18.4,93,51,4.74,56,,161,25,75,,,,,,,,
460,100,18.4,93,52,4.74,57,,162,25,75,,,,,,,,
461,100,18.5,93,51,4.77,57,,163,25,75,,,,,,,,
462,100,18.4,93,52,4.77,56,,164,25,75,,,,,,,,
