SN,Altitude,Temperature,Humidity,CO2,CO,Air,,AltTest,Tfixed,Hfixed,,Afixed,TempTest,Hfixed2,,Afixed2,Tfixed2,Humtest
351,40,17.8,90,57,3.84,57,,53,25,75,,,,,,,,
352,40,17.8,89,57,3.83,57,,54,25,75,,,,,,,,
353,40,17.8,90,56,3.84,56,,55,25,75,,,,,,,,
354,40,17.7,90,57,3.84,56,,56,25,75,,,,,,,,
355,40,17.7,89,57,3.86,56,,57,25,75,,,,,,,,
356,40,17.7,88,56,3.84,57,,58,25,75,,,,,,,,
357,40,17.7,88,55,3.84,56,,59,25,75,,,,,,,,
358,40,18,89,55,3.84,56,,60,25,75,,,,,,,,
359,50,18.1,89,55,3.84,56,,61,25,75,,,,,,,,
360,50,18.1,89,55,3.85,57,,62,25,75,,,,,,,,
361,50,18,88,55,3.86,56,,63,25,75,,,,,,,,
362,50,18,89,55,3.85,57,,64,25,75,,,,,,,,
363,50,17.9,89,55,3.83,56,,65,25,75,,,,,,,,
364,50,17.8,90,54,3.83,56,,66,25,75,,,,,,,,
365,50,17.9,90,54,3.84,56,,67,25,75,,,,,,,,
366,50,17.9,90,55,3.83,57,,68,25,75,,,,,,,,
367,50,17.9,89,54,3.84,56,,69,25,75,,,,,,,,
368,50,17.9,90,54,3.84,55,,70,25,75,,,,,,,,
369,50,17.8,90,54,3.84,55,,71,25,75,,,,,,,,
370,50,17.9,91,53,3.84,55,,72,25,75,,,,,,,,
371,50,18,91,53,3.82,55,,73,25,75,,,,,,,,
372,50,18.2,91,53,3.82,55,,74,25,75,,,,,,,,
373,50,18.2,90,55,3.83,56,,75,25,75,,,,,,,,
374,50,18.1,91,55,3.85,55,,76,25,75,,,,,,,,
375,50,18.2,91,54,3.85,55,,77,25,75,,,,,,,,
376,50,18.2,91,53,3.85,56,,78,25,75,,,,,,,,
377,50,18.1,91,53,3.84,56,,79,25,75,,,,,,,,
378,50,18.2,90,55,3.84,55,,80,25,75,,,,,,,,
379,60,18,91,54,3.84,56,,81,25,75,,,,,,,,
380,60,18,90,53,3.84,56,,82,25,75,,,,,,,,
381,60,18,89,53,3.84,56,,83,25,75,,,,,,,,
382,60,18.1,89,53,3.84,56,,84,25,75,,,,,,,,
383,60,18,89,53,3.84,57,,85,25,75,,,,,,,,
384,60,18.1,90,53,3.81,57,,86,25,75,,,,,,,,
385,60,18.1,90,53,3.84,57,,87,25,75,,,,,,,,
386,60,18.1,90,55,3.81,57,,88,25,75,,,,,,,,
387,60,18.2,91,53,3.81,56,,89,25,75,,,,,,,,
388,60,18.1,90,53,3.81,55,,90,25,75,,,,,,,,
389,60,18.3,91,52,3.81,55,,91,25,75,,,,,,,,
390,60,18.3,90,52,3.81,55,,92,25,75,,,,,,,,
391,60,18.3,90,52,3.81,54,,93,25,75,,,,,,,,
392,60,18.2,91,52,3.81,54,,94,25,75,,,,,,,,
393,60,18.3,90,52,3.82,54,,95,25,75,,,,,,,,
394,60,18.4,90,53,3.82,54,,96,25,75,,,,,,,,
395,60,18.3,91,53,3.81,54,,97,25,75,,,,,,,,
396,60,18.3,90,53,3.82,54,,98,25,75,,,,,,,,
397,60,18.2,91,53,3.81,54,,99,25,75,,,,,,,,
398,60,18.1,90,52,3.81,54,,100,25,75,,,,,,,,
399,70,18.2,91,52,3.82,55,,101,25,75,,,,,,,,
400,70,18.1,90,52,3.81,54,,102,25,75,,,,,,,,
401,70,18,90,52,3.81,54,,103,25,75,,,,,,,,
402,70,18,90,52,3.77,54,,104,25,75,,,,,,,,
403,70,18,90,52,3.81,53,,105,25,75,,,,,,,,
404,70,18,90,52,3.77,53,,106,25,75,,,,,,,,
405,70,18,90,53,3.77,53,,107,25,75,,,,,,,,
406,70,18.1,90,53,3.77,53,,108,25,75,,,,,,,,
407,70,18.2,91,52,3.78,53,,109,25,75,,,,,,,,
408,70,18.2,91,54,3.78,53,,110,25,75,,,,,,,,
409,70,18.2,91,54,3.8,52,,111,25,75,,,,,,,,
410,70,18.2,91,53,3.8,52,,112,25,75,,,,,,,,
411,70,18.2,91,53,3.8,53,,113,25,75,,,,,,,,
412,70,18,91,53,3.8,53,,114,25,75,,,,,,,,
413,70,18.1,90,53,3.81,53,,115,25,75,,,,,,,,
414,70,18.1,90,53,3.81,53,,116,25,75,,,,,,,,
415,70,18.1,90,53,3.82,53,,117,25,75,,,,,,,,
416,70,18.2,91,53,3.82,52,,118,25,75,,,,,,,,
417,70,18.2,91,52,3.82,52,,119,25,75,,,,,,,,
418,70,18.1,91,52,3.82,52,,120,25,75,,,,,,,,
419,80,18.2,90,52,3.82,52,,121,25,75,,,,,,,,
420,80,18,89,52,3.77,52,,122,25,75,,,,,,,,
421,80,17.9,89,52,3.77,52,,123,25,75,,,,,,,,
422,80,17.9,89,52,3.77,51,,124,25,75,,,,,,,,
423,80,17.9,89,53,3.77,51,,125,25,75,,,,,,,,
424,80,17.8,90,53,3.81,51,,126,25,75,,,,,,,,
425,80,17.9,89,52,3.82,51,,127,25,75,,,,,,,,
426,80,17.8,89,52,3.82,51,,128,25,75,,,,,,,,
427,80,17.7,89,53,3.82,51,,129,25,75,,,,,,,,
428,80,17.8,90,52,3.81,51,,130,25,75,,,,,,,,
429,80,17.7,90,52,3.82,52,,131,25,75,,,,,,,,
430,80,17.7,91,52,3.82,52,,132,25,75,,,,,,,,
431,80,17.7,91,52,3.83,52,,133,25,75,,,,,,,,
432,80,17.5,90,52,3.84,52,,134,25,75,,,,,,,,
433,80,17.3,89,52,3.84,52,,135,25,75,,,,,,,,
434,80,17.3,89,51,3.84,51,,136,25,75,,,,,,,,
435,80,17.2,89,51,3.85,52,,137,25,75,,,,,,,,
436,80,17.2,88,52,3.85,52,,138,25,75,,,,,,,,
437,80,17.2,88,52,3.86,52,,139,25,75,,,,,,,,
438,80,17.2,88,51,3.85,51,,140,25,75,,,,,,,,
439,90,17.3,88,51,3.86,51,,141,25,75,,,,,,,,
440,90,17.3,88,51,3.87,51,,142,25,75,,,,,,,,
441,90,17.3,89,51,3.85,51,,143,25,75,,,,,,,,
442,90,17.3,87,51,3.87,51,,144,25,75,,,,,,,,
443,90,17.5,88,52,3.9,51,,145,25,75,,,,,,,,
444,90,17.4,88,51,3.89,52,,146,25,75,,,,,,,,
445,90,17.4,87,51,3.89,52,,147,25,75,,,,,,,,
446,90,17.5,88,51,3.87,52,,148,25,75,,,,,,,,
447,90,17.6,88,50,4.0 ,52,,149,25,75,,,,,,,,
448,90,17.7,87,50,4.0 ,52,,150,25,75,,,,,,,,
449,90,17.7,87,50,4.0 ,50,,151,25,75,,,,,,,,
450,90,17.8,87,50,3.9,50,,152,25,75,,,,,,,,
451,90,17.9,87,50,3.89,50,,153,25,75,,,,,,,,
452,90,18.1,89,52,3.87,50,,154,25,75,,,,,,,,
453,90,18.1,89,52,3.83,50,,155,25,75,,,,,,,,
454,90,18.2,89,52,3.83,50,,156,25,75,,,,,,,,
455,90,18.3,90,50,3.82,50,,157,25,75,,,,,,,,
456,90,18.4,90,50,3.83,50,,158,25,75,,,,,,,,
457,90,18.2,91,50,3.84,50,,159,25,75,,,,,,,,
458,90,18.2,92,51,3.84,50,,160,25,75,,,,,,,,
459,100,18.2,90,50,3.88,51,,161,25,75,,,,,,,,
460,100,18.0 ,90,51,3.89,51,,162,25,75,,,,,,,,
461,100,18.1,90,50,3.88,51,,163,25,75,,,,,,,,
462,100,18.1,89,50,3.87,52,,164,25,75,,,,,,,,
